file,original_rows,cleaned_rows,processed_time
machine_data_20260224_000120.csv,25,25,2026-02-24 00:06:56.267186
machine_data_20260224_000220.csv,25,25,2026-02-24 00:06:56.275770
machine_data_20260224_000320.csv,25,25,2026-02-24 00:06:56.284475
machine_data_20260224_000420.csv,25,25,2026-02-24 00:06:56.293885
machine_data_20260224_000520.csv,25,25,2026-02-24 00:06:56.302558
machine_data_20260224_000620.csv,25,25,2026-02-24 00:06:56.311540
machine_data_20260224_000120.csv,25,25,2026-02-24 00:22:41.659362
machine_data_20260224_000220.csv,25,25,2026-02-24 00:22:41.678008
machine_data_20260224_000320.csv,25,25,2026-02-24 00:22:41.690703
machine_data_20260224_000420.csv,25,25,2026-02-24 00:22:41.702709
machine_data_20260224_000520.csv,25,25,2026-02-24 00:22:41.710301
machine_data_20260224_000620.csv,25,25,2026-02-24 00:22:41.723894
machine_data_20260224_002140.csv,25,25,2026-02-24 00:22:41.737231
