machine_id,temperature,pressure,vibration,status,timestamp
M-102,80.52,76.21,2.38,STOPPED,2026-02-24 00:04:20.949581
M-102,94.28,77.55,0.35,STOPPED,2026-02-24 00:04:20.949591
M-102,86.73,48.23,3.85,STOPPED,2026-02-24 00:04:20.949598
M-103,71.05,58.36,3.02,RUNNING,2026-02-24 00:04:20.949603
M-102,97.75,44.6,1.61,RUNNING,2026-02-24 00:04:20.949609
M-101,111.51,71.59,3.38,RUNNING,2026-02-24 00:04:20.949614
M-102,96.32,56.58,0.48,STOPPED,2026-02-24 00:04:20.949618
M-102,113.04,22.42,4.71,RUNNING,2026-02-24 00:04:20.949623
M-101,63.01,36.17,1.28,RUNNING,2026-02-24 00:04:20.949627
M-103,115.99,21.73,1.89,RUNNING,2026-02-24 00:04:20.949632
M-102,109.0,64.28,2.85,STOPPED,2026-02-24 00:04:20.949637
M-101,113.39,41.83,2.19,STOPPED,2026-02-24 00:04:20.949641
M-103,111.3,58.73,0.62,RUNNING,2026-02-24 00:04:20.949646
M-101,87.8,43.01,4.86,STOPPED,2026-02-24 00:04:20.949650
M-103,95.57,22.75,2.37,STOPPED,2026-02-24 00:04:20.949654
M-102,63.28,58.65,1.66,RUNNING,2026-02-24 00:04:20.949658
M-104,78.84,40.28,4.19,STOPPED,2026-02-24 00:04:20.949663
M-102,108.13,65.26,4.98,STOPPED,2026-02-24 00:04:20.949668
M-102,69.06,24.84,2.62,STOPPED,2026-02-24 00:04:20.949672
M-103,71.69,76.99,1.13,STOPPED,2026-02-24 00:04:20.949676
M-104,79.32,33.01,1.21,RUNNING,2026-02-24 00:04:20.949680
M-103,63.85,59.04,4.23,STOPPED,2026-02-24 00:04:20.949684
M-102,108.92,53.23,3.52,RUNNING,2026-02-24 00:04:20.949688
M-104,85.5,66.07,4.69,RUNNING,2026-02-24 00:04:20.949692
M-102,119.92,52.16,0.74,RUNNING,2026-02-24 00:04:20.949697
