machine_id,temperature,pressure,vibration,status,timestamp
M-101,88.16,68.09,0.92,RUNNING,2026-02-24 00:05:20.954151
M-101,119.69,78.11,1.5,STOPPED,2026-02-24 00:05:20.954165
M-104,85.47,78.27,2.75,RUNNING,2026-02-24 00:05:20.954171
M-101,68.4,66.39,2.49,RUNNING,2026-02-24 00:05:20.954178
M-103,111.59,67.46,3.83,RUNNING,2026-02-24 00:05:20.954186
M-104,77.05,45.91,3.18,STOPPED,2026-02-24 00:05:20.954190
M-101,108.0,68.05,0.2,RUNNING,2026-02-24 00:05:20.954195
M-103,71.93,26.86,3.28,RUNNING,2026-02-24 00:05:20.954199
M-103,75.19,35.32,2.72,RUNNING,2026-02-24 00:05:20.954203
M-104,119.6,49.61,3.72,STOPPED,2026-02-24 00:05:20.954208
M-104,116.72,43.95,0.88,RUNNING,2026-02-24 00:05:20.954213
M-104,67.55,66.88,1.17,STOPPED,2026-02-24 00:05:20.954216
M-102,90.67,56.55,4.23,STOPPED,2026-02-24 00:05:20.954220
M-104,68.42,56.63,0.99,STOPPED,2026-02-24 00:05:20.954224
M-103,72.31,33.5,1.12,STOPPED,2026-02-24 00:05:20.954228
M-104,98.41,28.35,1.16,STOPPED,2026-02-24 00:05:20.954232
M-104,114.85,36.11,2.94,RUNNING,2026-02-24 00:05:20.954235
M-102,96.97,46.97,0.13,RUNNING,2026-02-24 00:05:20.954240
M-104,82.64,63.24,2.11,RUNNING,2026-02-24 00:05:20.954244
M-103,81.42,30.49,3.74,RUNNING,2026-02-24 00:05:20.954247
M-102,106.4,21.72,4.17,RUNNING,2026-02-24 00:05:20.954253
M-103,117.93,50.78,0.41,STOPPED,2026-02-24 00:05:20.954257
M-103,96.83,57.98,2.74,STOPPED,2026-02-24 00:05:20.954262
M-101,93.36,24.4,4.1,STOPPED,2026-02-24 00:05:20.954267
M-104,95.7,34.26,4.6,RUNNING,2026-02-24 00:05:20.954271
