machine_id,temperature,pressure,vibration,status,timestamp
M-103,67.76,65.21,3.53,STOPPED,2026-02-24 00:02:20.940788
M-103,107.89,77.25,2.34,STOPPED,2026-02-24 00:02:20.940809
M-102,74.49,40.84,4.76,RUNNING,2026-02-24 00:02:20.940822
M-102,99.54,55.18,0.25,RUNNING,2026-02-24 00:02:20.940834
M-102,100.95,47.72,0.6,RUNNING,2026-02-24 00:02:20.940846
M-101,95.81,24.39,3.49,RUNNING,2026-02-24 00:02:20.940859
M-101,78.96,37.51,0.76,RUNNING,2026-02-24 00:02:20.940870
M-104,85.67,59.65,1.75,RUNNING,2026-02-24 00:02:20.940881
M-103,103.98,29.33,4.18,STOPPED,2026-02-24 00:02:20.940903
M-104,108.37,46.88,1.42,RUNNING,2026-02-24 00:02:20.940914
M-104,82.52,63.57,1.14,RUNNING,2026-02-24 00:02:20.940925
M-102,119.0,39.69,4.79,STOPPED,2026-02-24 00:02:20.940937
M-102,70.03,58.99,3.04,RUNNING,2026-02-24 00:02:20.940948
M-101,87.23,64.88,2.18,STOPPED,2026-02-24 00:02:20.940959
M-103,88.93,58.07,3.36,RUNNING,2026-02-24 00:02:20.940969
M-104,107.14,20.7,1.89,STOPPED,2026-02-24 00:02:20.940979
M-103,105.33,66.07,2.23,RUNNING,2026-02-24 00:02:20.940990
M-101,97.94,74.34,4.6,RUNNING,2026-02-24 00:02:20.941001
M-104,107.59,21.15,1.65,RUNNING,2026-02-24 00:02:20.941011
M-103,70.56,45.95,0.31,STOPPED,2026-02-24 00:02:20.941022
M-104,73.21,29.13,2.51,STOPPED,2026-02-24 00:02:20.941033
M-102,106.28,41.49,4.97,RUNNING,2026-02-24 00:02:20.941044
M-102,82.73,28.88,2.37,RUNNING,2026-02-24 00:02:20.941054
M-104,102.97,47.38,3.34,STOPPED,2026-02-24 00:02:20.941065
M-104,90.48,69.42,4.56,STOPPED,2026-02-24 00:02:20.941082
