machine_id,temperature,pressure,vibration,status,timestamp
M-101,107.12,36.81,1.32,RUNNING,2026-02-24 00:21:40.662488
M-102,89.78,78.88,3.34,RUNNING,2026-02-24 00:21:40.662499
M-104,66.9,65.64,3.31,STOPPED,2026-02-24 00:21:40.662503
M-101,74.13,69.34,4.59,RUNNING,2026-02-24 00:21:40.662507
M-103,112.03,66.51,3.77,RUNNING,2026-02-24 00:21:40.662510
M-102,72.36,50.81,0.53,STOPPED,2026-02-24 00:21:40.662513
M-104,108.93,22.52,3.5,STOPPED,2026-02-24 00:21:40.662516
M-102,114.91,37.19,4.98,RUNNING,2026-02-24 00:21:40.662518
M-101,105.95,20.6,2.1,RUNNING,2026-02-24 00:21:40.662528
M-104,101.5,61.44,3.89,STOPPED,2026-02-24 00:21:40.662531
M-103,82.54,32.68,4.79,STOPPED,2026-02-24 00:21:40.662533
M-103,60.9,79.86,1.96,RUNNING,2026-02-24 00:21:40.662536
M-104,76.28,20.05,3.2,STOPPED,2026-02-24 00:21:40.662539
M-102,88.15,25.39,1.74,RUNNING,2026-02-24 00:21:40.662542
M-101,103.69,78.2,1.58,STOPPED,2026-02-24 00:21:40.662544
M-101,71.57,74.71,2.92,RUNNING,2026-02-24 00:21:40.662547
M-104,79.6,44.17,1.88,STOPPED,2026-02-24 00:21:40.662550
M-102,79.46,23.7,2.96,RUNNING,2026-02-24 00:21:40.662553
M-104,98.12,63.42,1.96,STOPPED,2026-02-24 00:21:40.662555
M-104,94.49,37.14,1.41,STOPPED,2026-02-24 00:21:40.662561
M-104,113.67,54.74,1.07,RUNNING,2026-02-24 00:21:40.662564
M-103,98.65,70.35,0.71,RUNNING,2026-02-24 00:21:40.662566
M-101,72.13,26.9,0.75,STOPPED,2026-02-24 00:21:40.662569
M-101,63.9,40.36,2.35,RUNNING,2026-02-24 00:21:40.662572
M-101,81.44,49.33,3.86,STOPPED,2026-02-24 00:21:40.662574
