machine_id,temperature,pressure,vibration,status,timestamp,quality_flag
M-103,79.34,52.1,4.58,RUNNING,2026-02-24 00:01:20.933466,GOOD
M-101,81.82,36.95,1.43,STOPPED,2026-02-24 00:01:20.933475,GOOD
M-104,110.19,21.43,1.19,RUNNING,2026-02-24 00:01:20.933479,GOOD
M-102,84.33,20.26,3.29,STOPPED,2026-02-24 00:01:20.933482,GOOD
M-104,96.31,53.22,3.07,STOPPED,2026-02-24 00:01:20.933485,GOOD
M-102,108.39,47.52,3.65,STOPPED,2026-02-24 00:01:20.933488,GOOD
M-104,102.5,53.27,1.2,RUNNING,2026-02-24 00:01:20.933490,GOOD
M-101,60.27,75.92,4.4,RUNNING,2026-02-24 00:01:20.933493,GOOD
M-102,96.76,43.58,0.42,RUNNING,2026-02-24 00:01:20.933499,GOOD
M-101,61.67,65.05,4.59,STOPPED,2026-02-24 00:01:20.933502,GOOD
M-103,114.77,79.34,1.69,RUNNING,2026-02-24 00:01:20.933504,GOOD
M-102,104.92,26.47,3.2,STOPPED,2026-02-24 00:01:20.933506,GOOD
M-102,72.19,52.6,2.05,STOPPED,2026-02-24 00:01:20.933509,GOOD
M-103,65.13,52.05,4.39,STOPPED,2026-02-24 00:01:20.933511,GOOD
M-103,82.16,56.58,1.06,RUNNING,2026-02-24 00:01:20.933514,GOOD
M-101,118.34,60.72,4.8,RUNNING,2026-02-24 00:01:20.933516,HIGH_TEMP
M-101,96.33,74.69,2.54,RUNNING,2026-02-24 00:01:20.933518,GOOD
M-101,116.87,52.88,4.45,STOPPED,2026-02-24 00:01:20.933521,HIGH_TEMP
M-102,70.47,55.22,2.16,RUNNING,2026-02-24 00:01:20.933523,GOOD
M-101,71.58,55.67,4.79,RUNNING,2026-02-24 00:01:20.933528,GOOD
M-101,82.12,51.97,3.25,STOPPED,2026-02-24 00:01:20.933530,GOOD
M-103,62.44,53.82,4.23,STOPPED,2026-02-24 00:01:20.933532,GOOD
M-104,119.06,65.53,2.8,RUNNING,2026-02-24 00:01:20.933535,HIGH_TEMP
M-101,72.3,20.41,0.78,STOPPED,2026-02-24 00:01:20.933537,GOOD
M-101,89.28,34.94,3.17,RUNNING,2026-02-24 00:01:20.933539,GOOD
